station_complex_id,station_complex,borough,latitude,longitude,nearby_attractions
99,"Lorimer St (M,J)",Brooklyn,40.70387,-73.94741,"Exprink, Shoppers World, Canal Jeans, E. V. Haughwout Building, Sternberg Park, Brooklyn Comedy Collective, Club Nihil, סיורים בניו יורק בעברית Glasshouse Tours, Ten Eyck Playground, Brooklyn Nails & Spa Salon"
100,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,"Domsey Express, Zapped Beauty, The Flat, Soreiku Vineyards, Acela Lounge, Zero Waste Daniel, Get Up and Ride Bike Tours, Soloway, Rodney Park Center, Pandemusic Project"
101,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756,"Tours by Frieda, Williamsburg, Brooklyn Flower Shop, Duff's Brooklyn, Hasidic Williamsburg Tour, Soloway, Rodney Park Center, Pandemusic Project, Get Up and Ride Bike Tours, Zero Waste Daniel"
103,"Bowery (J,Z)",Manhattan,40.72028,-73.99391,"Procell, Fig. 19, SFA Projects, Fridman Gallery, The Highlight Room Nyc, Go Green Organic Spa, Pottery Studio 1, Simone Subal Gallery, Massey Klein Gallery, Derek Eller Gallery"
107,"Broad St (J,Z)",Manhattan,40.706474,-74.011055,"Selia Yang, The Wall Street Experience - Wall Street Tours, Lower Manhattan Tours, New York Stock Exchange, Federal Hall, House of Morgan, Bla bla llc, NYTSTours, Castle Clinton National Monument, Our Lady of Victory Church"
108,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,"Cage-baseball Inc, Tales of the City tours, Tales of the city tours, Funtopia USA, Benninger Playground, R & M Childrens Boutique"
109,Fresh Pond Rd (M),Queens,40.706184,-73.895874,"Benninger Playground, Funtopia USA, The kiddie Spa, R & M Childrens Boutique, Cage-baseball Inc, Dan Na Body Work, Target Exterminating, Inc., New Rainbow Spa Ridgewood, 71st Ave Plaza, Sky Beauty Spa"
110,Forest Av (M),Queens,40.704422,-73.903076,"Target Exterminating, Inc., Dan Na Body Work, Telco Stores, Spa Heaven, Level Art Gallery, Lorimoto Gallery, 71st Ave Plaza, New Rainbow Spa Ridgewood, Sky Beauty Spa, Robert F. Kennedy Bridge"
111,Seneca Av (M),Queens,40.702763,-73.90774,"Robert F. Kennedy Bridge, Svmmon, Congregation Beit Aharon, Ridgewood Veterans Triangle, Liberty Department Stores II, Target Exterminating, Inc., Dan Na Body Work, Telco Stores, Spa Heaven, Lorimoto Gallery"
113,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,"GG's Social Trade & Treasure Club, Risk Gallery & Boutique, Alex's Tours, 24k Experience, Bossa Nova Civic Club, Deb Chaney Editions, Secret Project Robot, Shoppers World, Captured Group Photography, Select Vintage"
114,Central Av (M),Brooklyn,40.697857,-73.9274,"Bossa Nova Civic Club, Deb Chaney Editions, Drty Smmr, Secret Project Robot, Good Work Gallery, The Living Gallery, Brooklyn Paints, 24k Experience, Risk Gallery & Boutique, GG's Social Trade & Treasure Club"
118,3 Av (L),Manhattan,40.73285,-73.98612,"Partea, QQ Body Work, Kiehl's, Joe's Wine Co., Aum Shanti Bookshop & crystal tarot gallery, Tamago Skincare, Village East Cinema, Blind Pig Bar, Coyote Ugly, Beauty Bar"
119,1 Av (L),Manhattan,40.730953,-73.98163,"Kathe's Jewelry, Four Seasons Body Work 271 1st Ave, East Men Spa, O'Hanlons, Planet Rose Karaoke, Phoenix Bar, Drop Off Service, Esplora New York, Target East Village, Common Ground"
120,Bedford Av (L),Brooklyn,40.717304,-73.95687,"Junk Brooklyn, Brooklyn Winery, Sunshine Hot Stone Bodywork, Madame Morbid's Trolley Tours, Studio Joo, richlane, Rusty Dog Antiques, Greenhouse Holistic, Treatment by Lanshin, 10ft Single By Stella Dallas"
122,Graham Av (L),Brooklyn,40.714565,-73.94405,"Ba'sik, Emily's Pork Store, Beer Street, Harefield Road, Orient Grove, Brooklyn art factory, Grimm Artisanal Ales, The Vino Theater, Hawkeye Crates, Salt Lizard"
123,Grand St (L),Brooklyn,40.711926,-73.94067,"Amant, Interboro Spirits and Ales, Cleo's Yarn Shop, The Paper Box, Brooklyn Zoo NY, Light Industry, The Art Of Killin It, City Aquarium, Our Wicked Lady, Socialight Entertainment"
124,Montrose Av (L),Brooklyn,40.70774,-73.93985,"Worthless Studios, Worthlessstudios, Mad Axe, Ten Eyck Playground, Graff Tours, Now & Then NYC, Future Space, New York Off Road, Substance Skatepark, Club Nihil"
125,Morgan Av (L),Brooklyn,40.706154,-73.93314,"Braven Brewing Company, Amos Eno Gallery, Fresh Window, Pine Box Rock Shop, Creative Studio NYC, Arcade Project Curatorial, Syndicated Bar Theater Kitchen, Novo Arts, The Bone Museum, The Jungle Lounge"
126,Jefferson St (L),Brooklyn,40.706608,-73.92291,"House of Yes, Theatre XIV by Company XIV, Kato Sake Works, Fuchs Projects, Structural Color Gallery, Cocktail Magique by Company XIV, The Red Pavilion, Jupiter Disco, Soho Art Materials, Moran Site"
127,DeKalb Av (L),Brooklyn,40.70381,-73.91843,"Sardine, Svmmon, Robert F. Kennedy Bridge, Liberty Department Stores II, Starr Playground, Grover Cleveland Park, Daya Yoga Studio, Maria Hernandez Park, Left Hand Path, The Bush"
129,Halsey St (L),Queens,40.695602,-73.90408,"Plank Road, Outpost Artists Resources Inc, Evil Twin Brewing NYC, Rockwall Studios, Liminial Space, The Espejo Organization For The Arts, Bridge and Tunnel Brewery, Shivaloka Bodywork Brooklyn, Level Art Gallery, Lorimoto Gallery"
130,Wilson Av (L),Brooklyn,40.688763,-73.904045,"Bridge and Tunnel Brewery, Rockwall Studios, Liminial Space, The Espejo Organization For The Arts, Plank Road, The Evergreens Cemetery, Ocean Hill Deli Corp, Thomas Boyland Park, The Tiny Cupboard Comedy Club, Luxury Facials and spa"
131,Bushwick Av-Aberdeen St (L),Brooklyn,40.68283,-73.90525,"The Evergreens Cemetery, Bott Welding And Consulting, Ocean Hill Deli Corp, Thomas Boyland Park, The Tiny Cupboard Comedy Club, Coco’s | The Collective Spa, Luxury Facials and spa, Callahan-kelly Playground, Fish Playground, Coustof Waxman"
133,Atlantic Av (L),Brooklyn,40.675346,-73.9031,"Coustof Waxman, Howard Playground, Callahan-kelly Playground, Bott Welding And Consulting, Ocean Hill Deli Corp, Thomas Boyland Park"
134,Sutter Av (L),Brooklyn,40.66937,-73.90198,"New York International Limousines, Livonia Park, VACAYA, Howard Playground, Coustof Waxman"
135,Livonia Av (L),Brooklyn,40.66404,-73.90057,"Livonia Park, New York International Limousines, VACAYA"
136,New Lots Av (L),Brooklyn,40.658733,-73.89923,"Livonia Park, New York International Limousines"
